Username,Rating,Date,Comment
A***.,5,1 day ago,"Highly responsive and accurate sensor, Great feeling. perfect size"
Tiar Y.,5,14 Mar 2024,"I actually quite hesitate whrn I buy this mouse cus it is crazy expensive but when I received and tried this mouse , it really give a sense of worthy. Buttt I dont why my mouse led only light up one line.... I think it is broken ... shittt...to be a good customer I still give 5stats la"
Metheldis R.,5,31 Jan 2024,"cheapest price for the item..superbly fast drop off and delivery..ok packaging,only bubblewrapped plastic..item is genuine as i managed to registered my S/N at Logitech website..item is great for gaming,especially for huge right handed gamers..all buttons feel solid..DPI is ridiculously high..adjustable weight..side scroll and scroll buttons..free scroll toggle..hold to precise/low DPI function..both up and down DPI stage buttons..fully customisable chroma lighting..the only downfall is the Ghub is kinda hassle to download for older windows version,and i’m using Win8,PS: use Edge to download older version via their website..that’s all..highly recommended..easy 5 stars..kudos 💪"
Jeff T.,5,10 Mar 2021,"I was skeptical to buy from this store as it has zero review on all products. Decided to be the first customer since the response on the chat is fast and very helpful, even during weekend. Items received within a few days, everything work perfectly as per advitised. There are 11 programmable buttons and this has certainly help to increase my productivity, such as copy paste, show desktop, open new tab close tab etc. And the 25k DPI is just lighting fast. Thank you for the freebie, love it."
D***.,5,18 Sep 2021,"fadt delivery and well packaging, box still intact and just a little dented...use for few hours and feeling great"
daniel J.,5,23 hours ago,I've been using it for a week now and find it better than my previous logitech mouse. Hopefully this one will last longer.  
MT L.,5,4 weeks ago,Packing took some time due to 5.5 sale but delivery was fast. The box is quite dented even though bubble wrapped. Nonetheless the mouse is in perfect condition. It has adjustable weights for personalized balance and ergonomic design for comfortable grip. 
Evelyn L.,5,4 weeks ago,"Even though it was bubble-wrapped, the box was torn. And the plastic that the mouse was in was slightly opened and not sealed.  This is the condition of box and insides after opening the bubble wrapping. Therefore, it was not due to delivery but the original state as it was wrapped over. Makes you wonder whether this was a returned product and sold as new. After paying so much, wish the condition that the mouse came in was mint.

However, it works as advertised. But my mind is not at ease. And it is too troublesome to ask for a replacement.  "
JACKY N.,5,3 days ago,"Adjustable weights for personalized balance, Durable construction for long-lasting use,  "
1***0,5,7 days ago,"Programmable buttons for easy customization, Highly responsive and accurate sensor,  "
D***.,5,4 weeks ago,"Very nice to use, it’s ergonomic shape just nice for average sized hands and very comfortable when playing gamesSmooth and precise cursor movement,  "
Khian M.,5,10 Sep 2022,"This mouse quality very best and solid. also delivery very very faster then my mind, 9/9 order and receive on 10/9"
asouldiana,5,03 Feb 2023,性价比和外貌很好的一款鼠标，物流速度不错，包装还行
L***.,5,07 Mar 2023,Functionality:great Quality:paduuuuuuu Material:feel like proffesional gamers when use🤣
