Username,Rating,Date,Comment
A***.,5,1 day ago,highly responsive accurate sensor great feeling perfect size
Tiar Y.,5,14 Mar 2024,actually quite hesitate whrn buy mouse cu crazy expensive received tried mouse really give sense worthy buttt dont mouse led light one line think broken shitttto good customer still give 5stats la
Metheldis R.,5,31 Jan 2024,cheapest price itemsuperbly fast drop deliveryok packagingonly bubblewrapped plasticitem genuine managed registered sn logitech websiteitem great gamingespecially huge right handed gamersall button feel soliddpi ridiculously highadjustable weightside scroll scroll buttonsfree scroll togglehold preciselow dpi functionboth dpi stage buttonsfully customisable chroma lightingthe downfall ghub kinda hassle download older window versionand i ’ m using win8ps use edge download older version via websitethat ’ s allhighly recommendedeasy 5 starskudos 💪
Jeff T.,5,10 Mar 2021,skeptical buy store zero review product decided first customer since response chat fast helpful even weekend item received within day everything work perfectly per advitised 11 programmable button certainly help increase productivity copy paste show desktop open new tab close tab etc 25k dpi lighting fast thank freebie love
D***.,5,18 Sep 2021,fadt delivery well packaging box still intact little denteduse hour feeling great
daniel J.,5,23 hours ago,ive using week find better previous logitech mouse hopefully one last longer
MT L.,5,4 weeks ago,packing took time due 55 sale delivery fast box quite dented even though bubble wrapped nonetheless mouse perfect condition adjustable weight personalized balance ergonomic design comfortable grip
Evelyn L.,5,4 weeks ago,even though bubblewrapped box torn plastic mouse slightly opened sealed condition box inside opening bubble wrapping therefore due delivery original state wrapped make wonder whether returned product sold new paying much wish condition mouse came mint however work advertised mind ease troublesome ask replacement
JACKY N.,5,3 days ago,adjustable weight personalized balance durable construction longlasting use
1***0,5,7 days ago,programmable button easy customization highly responsive accurate sensor
D***.,5,4 weeks ago,nice use it ’ s ergonomic shape nice average sized hand comfortable playing gamessmooth precise cursor movement
Khian M.,5,10 Sep 2022,mouse quality best solid also delivery faster mind 99 order receive 109
asouldiana,5,03 Feb 2023,性价比和外貌很好的一款鼠标，物流速度不错，包装还行
L***.,5,07 Mar 2023,functionalitygreat qualitypaduuuuuuu materialfeel like proffesional gamers use🤣
1***9,5,01 Jun 2022,good nice mouse use delivery quite quick
