Username,Rating,Date,Comment
C. Conner,,"Reviewed in the United States on April 2, 2020","First, if your here to see if this Special Edition version also has the 16k Hero sensor, yes it does.

Allot of reviewers either praised this mouse for working well with their long fingers or being great for palm grip so I was worried at first that this mouse might make my hand hurt, (I've worked in a call center for almost 16 years and did allot of carpentry before that so I have carpal tunnel and arthritis too). I'm happy to say that as a claw user with shorter fingers there have been zero issues or pain from this mouse, (though when using the side thumb button I do have to reach a bit, but I like it this way as I can't accidentally hit it). If anything this mouse has tricked my hand into relaxing more into something closer to palm grip, (which is likely why it's more comfortable than my old mouse). The other buttons are very easy to get to and have a nice firm click. If you own any other Logitech products this has the same braided cable as their other gaming gear, it's strong with plenty of length and has a Velcro tie built in to make cable management a breeze. If you've never used a mouse with one of these 16K Hero sensors your gonna be blown away, so pinpoint accurate and lightning fast. The variable weight system is great with allot of options to chose from. I have a bad habit of picking up my mouse and moving it from years of using low DPI mouses so I have it heavy on the front and rear. This along with the super fast sensor are slowly helping me break that habit. Running the software in default makes the thumb button drop the DPI from whatever you have it set to, (top buttons left click side adjust DPI) to the slowest for pinpoint movement making it great for those doing video, audio, or Photoshop work.

TLDR:
Overall this is just a great quality bang for your buck mouse that can wear many hats and please almost anyone."
Jacob,,"Reviewed in the United States on July 9, 2020","UPDATE 2024/03/26: For maybe the past few months I've been experiencing degraded performance of the left-click button. Specifically, when I try to highlight text (click and drag) the selection often changes like I quickly released and re-clicked even though I have the button depressed the whole time. I am a pretty casual mouse user, I don't do left-click-intensive activities at all, so this is kind of disappointing. Maybe I can open it up and clean it to fix the problem myself. I really like the mouse, so I'd be disappointed if it became usable for this reason.

UPDATE 2021/03/18: I actually downloaded the G hub software and did a bit of customization. I disabled the left scroll wheel button, since I accidentally hit it so often when trying to middle click. I also increased DPI a bit (max is >25000 now?!) and set the DPI shift button so I can easily switch to a less sensitive DPI for accurately drawing pixel art or adjusting volume. Very nice features.

This mouse hasn't had any paint wear/peeling issues like my last (cheap) one. Despite the scroll wheel not being rubber, I think it feels just fine. I haven't used any weights, and I don't really know why I would. I use a palm-ish grip, and I have a medium size hand.

Since getting this mouse, I've switched from a ""normal"" DPI to max, and it is so nice being able to navigate my computer with fine movements. I can move my cursor across all three of my monitors by rotating my hand ~1.5 inches.

My only complaint is that the left button seems to be a bit sensitive. Maybe it's the way I hold the mouse, but in a 2D scrolling environment, it's easy to accidentally hit the left scroll button when holding down the wheel. I have to make a concerted effort to ensure that I am pressing the wheel straight down. It would also be nice if the DPI button was harder to press just so I don't hit it by accident, but that is very rare anyways.

When I bought this, it was on sale for $37. For that value, this mouse is 5 stars (so far). If I had spent ~$55 or more, this would be 4 stars. Overall a great mouse."
Inko,,"Reviewed in the United States on February 19, 2021","Overall I really like this product and think it is built nicely with quality plastics. It is a comfortable size and has a nice feel to it when holding it. My old mouse was much slimmer and annoying to hold unlike the g502 which when playing games or just in general doing work for prologned amounts of time definitely is a more comfortable hold. The thumb rest is really nice, i was worried because most of the review videos i watched were people with bigger hands so I thought maybe it wasn't going to sit right with me but it ended up being very nice and i really like it.

The program (Logitech G Hub) is very nice and runs smoothly. The lighting is very easy to change and you can basically custom make any color you want for the logo and primary lighting. It also has a bunch of preset affects for the lighting aswell. The dpi is very easy to set depending on what you want to set it as and also what other dpi's you want to set without having to open the program instead just clicking a button on the mouse right next to the primary clicker. The programable buttons themselves are very nice and easy to set. I don't really set all of them only 2 the rest are set to the default.

All in all I recommend this mouse to everyone and anyone who wants to upgrade from their current mouse."
Amazon Customer,,"Reviewed in the United States on October 16, 2020","This is my favorite mouse that I've ever owned. I play a lot of FPS games. I like the fact that you can program the side buttons to whatever you want, including multiple key presses. The build quality is great, it's a Logitech they always get this right for me. The feel of this mouse in my hand is perfect for me. I dont have very big hands, so I dont have issues with grip at all. It comes with weights that you can put in to make the mouse heavier if you like it that way. Ths lights are nice, you can change the color, the way it shines, and if you want have no lights at all. I have another G502 that is all black. The special edition has white accents. It's not overly done, and it looks very nice in hand. The wheel can be unlocked and free spun. I mainly do that for entertainment. The braided cord is very nice, long enough to reach a good distance. You can install software that controls DPI, profiles for different games or programs.

Pros: Great for gaming, quality of material is superb, the accuracy of the laser is second to none, programmable buttons, and profiles, RGB lighting effect that can be changed. Comfortable for extended gaming sessions.

Cons: Have to install software to get all the functions, the new software tries to detect what game or program you are using and switch profiles for you, sometimes gets it wrong."
ppoppo,,"Reviewed in the United States on May 1, 2024",i buy for my 2kid and they love it and enjoy playing game with it good fit they hand
Name,,"Reviewed in the United States on February 12, 2020","EDIT 10/13/2021: About a year ago this mouse started double clicking and I replaced it with a basic Microsoft ergonomic mouse that hasn't suffered the same problem. The mouse didn't even last a year. Logitech clearly cheaped out on the switches.

My first G502 was the old one that didn't even have RGB, and cost $80 from Walmart. It lasted me about 3 years, before the left click would behave strangely. When I was clicking and dragging, it would just stop dragging all of a sudden, while I was still holding down the mouse. I'm not sure of whether or not this was a normal problem, or if it was a result of me literally breaking off the plastic for the left mouse button and super-gluing it back on, but it was enough of a reason for me to buy the new model nonetheless. If you don't manage to snag the mouse button on something and break it off, this thing should last you a long while."
Ian,,"Reviewed in the United States on May 21, 2024","Works as well as the old Proteus it replaced, same feel. Glad to have it"
Timothy W.,,"Reviewed in the United States on May 2, 2024","Great mouse, but I think Logitech wants to much for what it is. So do like I did and wait for it to go on sale."
Evan Munemura,,"Reviewed in the United States on December 29, 2023","I've played all sorts of games and made so many macros for every single one of them. I've played this with every kind of genre you can think of: MMOs, first persons, third persons, strategy, RPGs, and even platformers. It honestly comes at the best value because of how flexible this mouse can potentially be to cater any personal preference. Eventually you will notice some wear over time, but since it's priced relatively low you get so much value if you play games a ton.

The only complaint I can think of is that the software used to make macros and adjust DPI settings, Logitech G Hub, is a bit finicky at times. Sometimes it doesn't start when booting up a game and trying to figure out how to use it properly can take some time to get used to. But once you familiarize with the program it opens up to so many possibilities for customization."
Sithtiger,,"Reviewed in the United States on February 1, 2020","So I still have the original Logitech G502 Proteus Core. I paid $70 for that mouse and it's still working! The only issue I had was I had some dust get stuck down in the mouse wheel sensor that I inadvertently put thereby trying to clean it with a compressor. Anyway, I managed to fix it without having to dismantle it, using the same process but I digress.

This one is the Logitech G502 SE Hero and it was on sale for $35 and it's normally, well I don't know because I can't find any other price. When I look at another competing site which I won't mention, it too has the same price. I have found that the Hero has replaced the G502 Proteus Spectrum which goes for $50 and the only difference is the SE Hero has a new ""Hero 16K Sensor"" which boasts...well 16,000 DPI vs the measily G502 Proteus Spectrum has ONLY 12,000 DPI (as if anyone even needs that amount of sensitivity) but seriously I LOVE the edition of the RGB lighting.

OK, so for the review. I don't have much to say honestly amazing so far. It's exactly the same as my old Proteus Core, but I just had to play with the SE Hero because of the sweet white black and white version. It's so very responsive and the toggle button that lets you lower the DPI with the flick of a switch and you're sniping like a pro. I love the weighted system they brought back. Why mess with perfection. The ONLY thing I don't like is the cord, which of course can be remedied by buying the G502 Lightspeed. If I had the money I'd buy it.

Look, if you're looking for a good gaming mouse or simply just a good mouse, you'd be crazy not to pick one up at the current price point if you have the money! There is an all-black version just like the G502 Proteus Spectrum but it is identical in every way to the SE Hero save the look of it. I don't have any cons to this in all honesty. Actually I have one small complaint. So if you need a mouse, look no further. Great mouse, the best out there."
Nash Presnell,,"Reviewed in the United States on January 6, 2024","The only mouse I've ever wanted or needed. Last one I had lasted seven years and I replaced it with the exact same model, and that was only because of the mousewheel button losing tracking after much use.

Has all the buttons you need, more sensitivity profiles than you'll ever need, weight balancing, all around a good, solid, affordable mouse for any purpose."
X,,"Reviewed in the United States on February 22, 2023","I've never seen such a contraption before.
A mouse for a computer, they say it's for gaming,
But I want it to crochet, to help me keep scoring.

Logitech they call it, with RGB lighting so bright,
And a sensor so precise, it's the best they've ever made.
It can go up to 16,000 DPI, such a sight,
And with five tunable weights, it can be perfectly weighed.

I reckon it can help me in my crochet work,
Make my stitches more precise, and my patterns not a mess.
And I heard that with this mouse, I can play Fortnite,
A game where you build and shoot, sounds like a fine contest.

But alas, I'm new to this mouse, and I must confess,
I'm not sure how to use it, or how it can be of aid.
But I'm willing to learn, and I'm sure I'll progress,
With this Logitech G502 SE Hero, I won't be afraid.

So let's give it a try, and see what it can do,
Maybe I'll become a pro gamer, or a crochet master too!"
Springfield,,"Reviewed in the United States on March 1, 2024",I love it. All the features that I needed. Good for big hands.
Austin Bergquist,,"Reviewed in the United States on December 18, 2019","As an avid gamer, your peripherals are just as important as your PC and games. Its the peanut butter to the jelly. I bought my first G502 Proteus about 3 years ago, and I fell in love with it. You will read a lot of negative reviews about the GHub software, and while there is a small learning curve, I firmly believe the people that have issues with it are just not learning how to use it properly. It is simple. The mouse itself it wonderful, the three thumb buttons are so easy to hit separately, and the rest of them are simple with your pointer finger. You can program them to execute Windows tasks, and even run macros, or something as simple as returning to your desktop. Which is my favorite because sometimes Ill be in the middle of a full-screen game, and instead of doing the good ol' control alt delete, task manager, desktop, you can hit one button on your mouse, and youre at the desktop without actually closing your application. It makes switching button assignments easy, even mid game. Because of this I was able to even win a game because I wanted to switch a key, so I did that in under 10 seconds and I was back to my fullscreen game.

This mouse is not for people with large hands, or palm-grippers. It is a hybrid claw/palm, after long periods of time your pinky and ring finger will feel a little sore/tense. Slap some Bengay on and have your mom heat up a hot pocket and youre good to go.

Lets not forget the price, $35 for this mouse that has the Hero sensor? I paid $80 for my G502 three years ago.

Buy. This. Mouse."
Smalls,,"Reviewed in the United States on February 28, 2020",I didn’t realize how bad my skates were on my original g502 until I received this new mouse. I am VERY happy with my much needed upgrade. $29 For the special edition model is a steal and can’t be beat anywhere. I noticed the mouse Cable has also been upgraded to a stronger material as my last cable had a weird kink in it over time. The new cable Is a nylon material where as the old model was a cloth like braided material (see photos). I also noticed the mouse wheel no longer has a rubber like feel and is now lower quality plastic material. It’s very hard to notice the difference but it’s definitely changed a bit. Software is near identical but i was a bit bummed all my profiles from my old mouse didn’t transfer over to the new one. This was the only downside of upgrading. As far as the hero sensor vs the original I personally haven’t noticed a difference except for the fact the mouse glides across my mouse pad so much better but this is due to my old skates on my original mouse. So if you are contemplating about upgrading your mouse don’t hesitate as $29 for the special edition is definitely worth it. I was originally considering ordering new mouse skates for my old g502 but for $15 more I was able to get a completely new and up to date mouse with the hero sensor. The special edition mouse can be kind of confusing to find since it doesn’t show up in the actual amazon search results. You have to select the standard black g502 and select color as “Se” from the drop down options.
